nrun,ntargets,px0,py0,pz0,px1,py1,pz1
16,2,0.0,0.0,-200.0,-0.08462137280899329,-0.002835038016515412,-200.68221504684513
16,2,14.087773766737323,5.838676184611351,-2.895677291889144,14.599124345807505,5.726531464714802,-1.8260992391993818
17,3,0.0,0.0,-200.0,4.013840793993872,-7.9467073272164725,-218.10877123984687
17,1,-26.178911631723032,51.80012002559659,-81.58335511333442,-26.178911631723032,51.800120025596584,-81.5833551133344
18,2,0.0,0.0,-200.0,0.26171959784949905,0.12857532660818904,-201.96223066243923
18,2,-22.976120854491285,-18.624938267964584,-7.951185932592318,-22.968802208669366,-15.710796403177412,-5.254716650838513
19,3,0.0,0.0,-200.0,1.0496528137546548,-0.46580830215503255,-203.4710735327502
19,2,-50.09048273931494,23.920202146440587,-30.41075801121316,-49.708477348121384,23.661253042702743,-30.00382827268843
20,3,0.0,0.0,-200.0,0.03672274794657726,-0.07735483569838375,-200.49755107858954
20,2,-9.832248270714139,24.04570430821866,-6.407363016739413,-10.127987795665083,24.28442327247204,-7.6184807245572435
21,4,0.0,0.0,-200.0,-6.896392045074862e-5,0.0008645973016867536,-200.02765671171434
22,3,0.0,0.0,-200.0,-0.14706866944442587,0.024444146923805476,-200.78411610345555
22,1,30.120769350690924,-7.416576715617339,-8.696948706021415,30.120769350690928,-7.416576715617341,-8.69694870602142
22,1,8.8127331767448,-12.217293296732283,-16.51562291026265,8.8127331767448,-12.217293296732285,-16.51562291026265
23,3,0.0,0.0,-200.0,0.23790225195201842,-0.2115915372972561,-201.44758643913485
23,2,-30.78571992336186,23.28604683388958,-13.141114933952869,-29.65428857963397,22.979636213714855,-11.423150315746172
24,3,0.0,0.0,-200.0,0.05633723405725277,0.2970229806961626,-201.4356487487693
24,1,-3.620158326898425,-36.94929737722389,-12.16987679315926,-3.6201583268984283,-36.94929737722389,-12.169876793159258
24,1,10.305227896219815,-26.249478332494494,-19.290500288990433,10.305227896219817,-26.2494783324945,-19.290500288990437
25,2,0.0,0.0,-200.0,0.12151806046181601,0.6692406581519439,-202.87162206756528
25,2,-11.715460449601968,-44.36256032798685,-18.626104451792724,-11.92913264895051,-44.96781221131696,-18.95908509261878
